"ID","tweet","word","tagType"
"38","RT @ahmetsafak_tc  Sana olan aşkımı ayyıldız kolye anlatsın.. #AyyıldızKolye albümü kutlu bir aşkın albümü. ","@ahmetsafak_tc","Person"
"39","RT @ahmetsafak_tc  Sana olan aşkımı ayyıldız kolye anlatsın.. #AyyıldızKolye albümü kutlu bir aşkın albümü. ","#AyyıldızKolye","Product"
"40","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","@musascolak","Person"
"41","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","Ayyıldız","Product"
"42","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","Kolye","Product"
"43","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","Ayyıldız","Product"
"44","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","Kolye","Product"
"45","RT @musascolak  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim http… ","@ahmetsafak_tc","Person"
"46","Sana olan aşkımı ayyıldız kolye anlatsın.. #AyyıldızKolye albümü kutlu bir aşkın albümü. ","ayyıldız","Product"
"47","Sana olan aşkımı ayyıldız kolye anlatsın.. #AyyıldızKolye albümü kutlu bir aşkın albümü. ","kolye","Product"
"48","Sana olan aşkımı ayyıldız kolye anlatsın.. #AyyıldızKolye albümü kutlu bir aşkın albümü. ","#AyyıldızKolye","Person"
"49","RT @blacklife3838  #ayyıldızkolye Albümün adından bile ne kadar güzel olduğunu anlayabiliyorum?? ?ükürler olsun çıktı?? @ahmetsafak_tc ","@blacklife3838","Person"
"50","RT @blacklife3838  #ayyıldızkolye Albümün adından bile ne kadar güzel olduğunu anlayabiliyorum?? ?ükürler olsun çıktı?? @ahmetsafak_tc ","#ayyıldızkolye","Product"
"51","RT @blacklife3838  #ayyıldızkolye Albümün adından bile ne kadar güzel olduğunu anlayabiliyorum?? ?ükürler olsun çıktı?? @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"52","RT @meryemtly  Sana olan aşkımı #AyyıldızKolye anlatsın ? @ahmetsafak_tc ","@meryemtly","Person"
"53","RT @meryemtly  Sana olan aşkımı #AyyıldızKolye anlatsın ? @ahmetsafak_tc ","#AyyıldızKolye","Product"
"54","RT @meryemtly  Sana olan aşkımı #AyyıldızKolye anlatsın ? @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"55","#AyyıldızKolye albümü an itibariyle itunes ve ttnet müzik başta olmak üzere bütün müzik sayfalarında.Keyifle dinleyin hüzünle dinleyin ","#AyyıldızKolye","Product"
"56","#AyyıldızKolye albümü an itibariyle itunes ve ttnet müzik başta olmak üzere bütün müzik sayfalarında.Keyifle dinleyin hüzünle dinleyin ","itunes","Organization"
"57","#AyyıldızKolye albümü an itibariyle itunes ve ttnet müzik başta olmak üzere bütün müzik sayfalarında.Keyifle dinleyin hüzünle dinleyin ","ttnet","Organization"
"58","RT @yakupgulerr  Hayırlı olsun bozkurt yürekli abim basarilarinin devamini dilerim. #AyyıldızKolye @ahmetsafak_tc ???? ","@yakupgulerr","Person"
"59","RT @yakupgulerr  Hayırlı olsun bozkurt yürekli abim basarilarinin devamini dilerim. #AyyıldızKolye @ahmetsafak_tc ???? ","#AyyıldızKolye","Product"
"60","RT @yakupgulerr  Hayırlı olsun bozkurt yürekli abim basarilarinin devamini dilerim. #AyyıldızKolye @ahmetsafak_tc ???? ","@ahmetsafak_tc","Person"
"61","RT @murtezax  @ahmetsafak_tc @kursattdemirci albümün için tşk çok tşk ","@murtezax","Person"
"62","RT @murtezax  @ahmetsafak_tc @kursattdemirci albümün için tşk çok tşk ","@ahmetsafak_tc","Person"
"63","RT @murtezax  @ahmetsafak_tc @kursattdemirci albümün için tşk çok tşk ","@kursattdemirci","Person"
"64","RT @ReisiFener  @ahmetsafak_tc ağzına sağlık abi hasreti dindirdik sonunda #AyyıldızKolye ","@ReisiFener","Person"
"65","RT @ReisiFener  @ahmetsafak_tc ağzına sağlık abi hasreti dindirdik sonunda #AyyıldızKolye ","@ahmetsafak_tc","Person"
"66","RT @ReisiFener  @ahmetsafak_tc ağzına sağlık abi hasreti dindirdik sonunda #AyyıldızKolye ","#AyyıldızKolye","Product"
"67","RT @ACIGMA_KUN  #AyyıldızKolye  Hakikaten afili ??  Albüm kapağı yıkılıyoor ??????  @ahmetsafak_tc https //t.co/lf9VvquVXE ","@ACIGMA_KUN","Person"
"68","RT @ACIGMA_KUN  #AyyıldızKolye  Hakikaten afili ??  Albüm kapağı yıkılıyoor ??????  @ahmetsafak_tc https //t.co/lf9VvquVXE ","#AyyıldızKolye","Product"
"69","RT @ACIGMA_KUN  #AyyıldızKolye  Hakikaten afili ??  Albüm kapağı yıkılıyoor ??????  @ahmetsafak_tc https //t.co/lf9VvquVXE ","@ahmetsafak_tc","Person"
"70","RT @zonenotion  ?? Ahmet ?afak'ın yeni albümü #AyyıldızKolye #iTunes'ta yayında  Hemen dinlemek için; https //t.co/rLW8U5e8SW https //t.co/Y… ","@zonenotion","Person"
"71","RT @zonenotion  ?? Ahmet ?afak'ın yeni albümü #AyyıldızKolye #iTunes'ta yayında  Hemen dinlemek için; https //t.co/rLW8U5e8SW https //t.co/Y… ","Ahmet","Person"
"72","RT @zonenotion  ?? Ahmet ?afak'ın yeni albümü #AyyıldızKolye #iTunes'ta yayında  Hemen dinlemek için; https //t.co/rLW8U5e8SW https //t.co/Y… ","?afak'ın","Person"
"73","RT @zonenotion  ?? Ahmet ?afak'ın yeni albümü #AyyıldızKolye #iTunes'ta yayında  Hemen dinlemek için; https //t.co/rLW8U5e8SW https //t.co/Y… ","#AyyıldızKolye","Product"
"74","RT @zonenotion  ?? Ahmet ?afak'ın yeni albümü #AyyıldızKolye #iTunes'ta yayında  Hemen dinlemek için; https //t.co/rLW8U5e8SW https //t.co/Y… ","#iTunes'ta","Organization"
"75","RT @kusenakitap  #AyyıldızKolye sosyal medya planlamaları  genç ve dinamik kadrosuyla piyasaya hızla giriş yapan Yeni Medya şirketi @zone… ","@kusenakitap","Organization"
"76","RT @kusenakitap  #AyyıldızKolye sosyal medya planlamaları  genç ve dinamik kadrosuyla piyasaya hızla giriş yapan Yeni Medya şirketi @zone… ","#AyyıldızKolye","Product"
"77","RT @kusenakitap  #AyyıldızKolye sosyal medya planlamaları  genç ve dinamik kadrosuyla piyasaya hızla giriş yapan Yeni Medya şirketi @zone… ","Yeni","Organization"
"78","RT @kusenakitap  #AyyıldızKolye sosyal medya planlamaları  genç ve dinamik kadrosuyla piyasaya hızla giriş yapan Yeni Medya şirketi @zone… ","Medya","Organization"
"79","RT @rednexi3  #AyyıldızKolye sevgi işareti ?? ","@rednexi3","Person"
"80","RT @rednexi3  #AyyıldızKolye sevgi işareti ?? ","#AyyıldızKolye","Product"
"81","RT @SeherSal  #Ayyıldızkolye ???? teşekkürler AHMET ?AFAK ?? ","@SeherSal","Person"
"82","RT @SeherSal  #Ayyıldızkolye ???? teşekkürler AHMET ?AFAK ?? ","#Ayyıldızkolye","Product"
"83","RT @SeherSal  #Ayyıldızkolye ???? teşekkürler AHMET ?AFAK ?? ","AHMET","Person"
"84","RT @SeherSal  #Ayyıldızkolye ???? teşekkürler AHMET ?AFAK ?? ","?AFAK","Person"
"85","RT @CanGnek  Bekle bizi #ayyıldızkolye @ahmetsafak_tc ","@CanGnek","Person"
"86","RT @CanGnek  Bekle bizi #ayyıldızkolye @ahmetsafak_tc ","#ayyıldızkolye","Product"
"87","RT @CanGnek  Bekle bizi #ayyıldızkolye @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"88","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","@mrvpIt","Person"
"89","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Ahmet","Person"
"90","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Safak","Person"
"91","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Ayyıldız","Product"
"92","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Kolye","Product"
"93","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Ay","Product"
"94","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Yıldız","Product"
"95","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","Kolye","Product"
"96","RT @mrvpIt  Ahmet Safak  Ayyıldız Kolye Sana olan aşkımı Ay Yıldız Kolye anlatsın demiş @ahmetsafak_tc ?? https //t.co/MSyiW6UFuR ","@ahmetsafak_tc","Person"
"97","RT @fatma_dd  Çok bekledik be reis. Ama nihayet geldi #AyyıldızKolye .Bundan sonrasi artık bizde. Haydi hepimize hayırlı olsun ?? @ahmetsafa… ","@fatma_dd","Person"
"98","RT @fatma_dd  Çok bekledik be reis. Ama nihayet geldi #AyyıldızKolye .Bundan sonrasi artık bizde. Haydi hepimize hayırlı olsun ?? @ahmetsafa… ","#AyyıldızKolye","Product"
"99","RT @fatma_dd  Çok bekledik be reis. Ama nihayet geldi #AyyıldızKolye .Bundan sonrasi artık bizde. Haydi hepimize hayırlı olsun ?? @ahmetsafa… ","@ahmetsafa…","Person"
"100","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","@ACIGMA_KUN","Person"
"101","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","#AyyıldızKolye","Product"
"102","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","Ahmet","Person"
"103","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","?afak","Person"
"104","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","Ahmet","Person"
"105","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","?afak","Person"
"106","RT @ACIGMA_KUN  #AyyıldızKolye  Ahmet ?afak imzası ile Ahmet ?afak kalitesi ile  Hayırlı uğurlu olsun. @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"107","RT @vakit1985  Kiminin hoşuna kiminin zoruna gidecek ama hiçbir gün AY YILDIZIMIZ yere inmeyecek.. @ahmetsafak_tc @kusenakitap https //t.co… ","@vakit1985","Person"
"108","RT @vakit1985  Kiminin hoşuna kiminin zoruna gidecek ama hiçbir gün AY YILDIZIMIZ yere inmeyecek.. @ahmetsafak_tc @kusenakitap https //t.co… ","@ahmetsafak_tc","Person"
"109","RT @vakit1985  Kiminin hoşuna kiminin zoruna gidecek ama hiçbir gün AY YILDIZIMIZ yere inmeyecek.. @ahmetsafak_tc @kusenakitap https //t.co… ","@kusenakitap","Organization"
"110","RT @ALPARSLANADANA  Durduk yerde bu #ayyıldızkolye nerden çıktı diyorsun. Ben ki Ayyıldız'a Aşığım  @ahmetsafak_tc  Hayırlı Olsun ","@ALPARSLANADANA","Person"
"111","RT @ALPARSLANADANA  Durduk yerde bu #ayyıldızkolye nerden çıktı diyorsun. Ben ki Ayyıldız'a Aşığım  @ahmetsafak_tc  Hayırlı Olsun ","#ayyıldızkolye","Product"
"112","RT @ALPARSLANADANA  Durduk yerde bu #ayyıldızkolye nerden çıktı diyorsun. Ben ki Ayyıldız'a Aşığım  @ahmetsafak_tc  Hayırlı Olsun ","@ahmetsafak_tc","Person"
"113","RT @kurtbeyy_ccc  #AyyıldızKolye Hayırlı olsun Yalnız Kurt @ahmetsafak_tc abi. ","@kurtbeyy_ccc","Person"
"114","RT @kurtbeyy_ccc  #AyyıldızKolye Hayırlı olsun Yalnız Kurt @ahmetsafak_tc abi. ","#AyyıldızKolye","Product"
"115","RT @kurtbeyy_ccc  #AyyıldızKolye Hayırlı olsun Yalnız Kurt @ahmetsafak_tc abi. ","@ahmetsafak_tc","Person"
"116","RT @79Omerayg  @mlkkaygusuz @ahmetsafak_tc Ahmet abim emek vermiş bizde karşılığını veririz alim allah ","@79Omerayg","Person"
"117","RT @79Omerayg  @mlkkaygusuz @ahmetsafak_tc Ahmet abim emek vermiş bizde karşılığını veririz alim allah ","@mlkkaygusuz","Person"
"118","RT @79Omerayg  @mlkkaygusuz @ahmetsafak_tc Ahmet abim emek vermiş bizde karşılığını veririz alim allah ","@ahmetsafak_tc","Person"
"119","RT @79Omerayg  @mlkkaygusuz @ahmetsafak_tc Ahmet abim emek vermiş bizde karşılığını veririz alim allah ","Ahmet","Person"
"120","RT @BekirB7  #AyyıldızKolye hayırlı olsun abi @ahmetsafak_tc ","@BekirB7","Person"
"121","RT @BekirB7  #AyyıldızKolye hayırlı olsun abi @ahmetsafak_tc ","#AyyıldızKolye","Product"
"122","RT @BekirB7  #AyyıldızKolye hayırlı olsun abi @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"123","RT @VatanOzsoy  #AyyıldızKolye Vatan yürekli ruhların  boyunlarında taşıdıkları aşkın adıdır. Puslu gözlerin arkasındaki yağmur damlasıdır.… ","@VatanOzsoy","Person"
"124","RT @VatanOzsoy  #AyyıldızKolye Vatan yürekli ruhların  boyunlarında taşıdıkları aşkın adıdır. Puslu gözlerin arkasındaki yağmur damlasıdır.… ","#AyyıldızKolye","Product"
"125","RT @shntsbsi  #AyyıldızKolye hayırlı uğurlu olsun @ahmetsafak_tc  abi ","@shntsbsi","Person"
"126","RT @shntsbsi  #AyyıldızKolye hayırlı uğurlu olsun @ahmetsafak_tc  abi ","#AyyıldızKolye","Product"
"127","RT @shntsbsi  #AyyıldızKolye hayırlı uğurlu olsun @ahmetsafak_tc  abi ","@ahmetsafak_tc","Person"
"128","RT @45Duz  @ahmetsafak_tc başarılarının devamini ve o helal şarkılarının hiç bitmemesi yüreğimize su serpmesi dileği ile yüreğine sağlık ab… ","@45Duz","Person"
"129","RT @45Duz  @ahmetsafak_tc başarılarının devamini ve o helal şarkılarının hiç bitmemesi yüreğimize su serpmesi dileği ile yüreğine sağlık ab… ","@ahmetsafak_tc","Person"
"130","RT @rumeeysaakgul  hayırlı olsun abim #AyyıldızKolye @ahmetsafak_tc ???? ","@rumeeysaakgul","Person"
"131","RT @rumeeysaakgul  hayırlı olsun abim #AyyıldızKolye @ahmetsafak_tc ???? ","#AyyıldızKolye","Product"
"132","RT @rumeeysaakgul  hayırlı olsun abim #AyyıldızKolye @ahmetsafak_tc ???? ","@ahmetsafak_tc","Person"
"133","RT @aseras363  #AyyıldızKolye ","@aseras363","Person"
"134","RT @aseras363  #AyyıldızKolye ","#AyyıldızKolye","Product"
"135","RT @BarKabasakal  İste bu https //t.co/bpm2vTzByF ","@BarKabasakal","Person"
"136","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","@tugbakcygt1","Person"
"137","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","Ayyıldız","Product"
"138","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","Kolye","Product"
"139","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","Ayyıldız","Product"
"140","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","Kolye","Product"
"141","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","#Ahmet?afak","Person"
"142","RT @tugbakcygt1  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın.. #Ahmet?afak #AyyıldızKolye ","#AyyıldızKolye","Product"
"143","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","@burakptn","Person"
"144","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","Ayyıldız","Product"
"145","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","Kolye","Product"
"146","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","Ayyıldız","Product"
"147","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","Kolye","Product"
"148","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","#AyyıldızKolye","Product"
"149","RT @burakptn  Ayyıldız Kolye güzelliğine güzellik katsın  Sana olan aşkımı Ayyıldız Kolye anlatsın.. #AyyıldızKolye @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"150","RT @maximilian137  #AyyıldızKolye muvaffakiyetler diler ayyıldızı başımıza tac diye takarız.. ","@maximilian137","Person"
"151","RT @maximilian137  #AyyıldızKolye muvaffakiyetler diler ayyıldızı başımıza tac diye takarız.. ","#AyyıldızKolye","Product"
"152","RT @vakit1985  Bir ay çiçeğinin güneşe bakışı gibi sevmeli insan memleketini..Hayırlı olsun agabeyim Ay Yıldızımız @ahmetsafak_tc https //t… ","@vakit1985","Person"
"153","RT @vakit1985  Bir ay çiçeğinin güneşe bakışı gibi sevmeli insan memleketini..Hayırlı olsun agabeyim Ay Yıldızımız @ahmetsafak_tc https //t… ","@ahmetsafak_tc","Person"
"154","RT @kursattdemirci  Evet dostlar. #AyyıldızKolye etiketiyle paylaşım yapıyoruz. Albümümüzü milyonlara ulaştırıyoruz inşallah. ","@kursattdemirci","Person"
"155","RT @kursattdemirci  Evet dostlar. #AyyıldızKolye etiketiyle paylaşım yapıyoruz. Albümümüzü milyonlara ulaştırıyoruz inşallah. ","#AyyıldızKolye","Product"
"156","RT @kusenakitap  Hemen #AyyıldızKolye etiketiyle paylaşım yapın  imzalı albüm kazanacak 5 kişiden biri olma şansını yakalayın  ","@kusenakitap","Organization"
"157","RT @kusenakitap  Hemen #AyyıldızKolye etiketiyle paylaşım yapın  imzalı albüm kazanacak 5 kişiden biri olma şansını yakalayın  ","#AyyıldızKolye","Product"
"158","RT @kusenakitap  #AyyıldızKolye şuan sadece dijital platformlardadır. Cuma günü itibariyle  tüm müzik marketlerde ve D&R mağazalarında. ?im… ","@kusenakitap","Organization"
"159","RT @kusenakitap  #AyyıldızKolye şuan sadece dijital platformlardadır. Cuma günü itibariyle  tüm müzik marketlerde ve D&R mağazalarında. ?im… ","#AyyıldızKolye","Product"
"160","RT @kusenakitap  #AyyıldızKolye şuan sadece dijital platformlardadır. Cuma günü itibariyle  tüm müzik marketlerde ve D&R mağazalarında. ?im… ","Cuma","Date"
"161","RT @kusenakitap  #AyyıldızKolye şuan sadece dijital platformlardadır. Cuma günü itibariyle  tüm müzik marketlerde ve D&R mağazalarında. ?im… ","D&R","Organization"
"162","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","@kusenakitap","Organization"
"163","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","Ahmet","Person"
"164","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","?afak'tan","Person"
"165","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","#AyyıldızKolye","Product"
"166","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","ITunes","Organization"
"167","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","TTNet","Organization"
"168","RT @kusenakitap  Ahmet ?afak'tan mükemmel bir albüm  #AyyıldızKolye tüm dijital platformlarda  Hemen ITunes ve TTNet Müzik'e girin ve ilk d… ","Müzik'e","Organization"
"169","RT @ahmetsafak_tc  Ayyıldız Kolye albümümüz an itibariyle itunes ve tüm dijital alanlarda.Keyifle dikkatle ve hissederek dinleyeceğinize em… ","@ahmetsafak_tc","Person"
"170","RT @ahmetsafak_tc  Ayyıldız Kolye albümümüz an itibariyle itunes ve tüm dijital alanlarda.Keyifle dikkatle ve hissederek dinleyeceğinize em… ","Ayyıldız","Product"
"171","RT @ahmetsafak_tc  Ayyıldız Kolye albümümüz an itibariyle itunes ve tüm dijital alanlarda.Keyifle dikkatle ve hissederek dinleyeceğinize em… ","Kolye","Product"
"172","RT @kursattdemirci  Nihayet beklenen vakit geldi.  Ahmet ?afak'tan mükemmel bir albüm daha. #AyyıldızKolye an itibariyle ITunes ve tüm di… ","@kursattdemirci","Person"
"173","RT @kursattdemirci  Nihayet beklenen vakit geldi.  Ahmet ?afak'tan mükemmel bir albüm daha. #AyyıldızKolye an itibariyle ITunes ve tüm di… ","Ahmet","Person"
